State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
"Andhra Pradesh",Chittor,Palamaner,Cabbage,Cabbage,FAQ,04/11/2025,600,1500,900
"Andhra Pradesh",Chittor,Palamaner,"Cluster beans","Cluster Beans",FAQ,04/11/2025,4000,6000,5000
"Andhra Pradesh","East Godavari",Ravulapelem,Banana,Amruthapani,Large,04/11/2025,2800,3800,3400
"Andhra Pradesh",Guntur,Duggirala,Turmeric,Finger,FAQ,04/11/2025,12500,12500,12500
"Andhra Pradesh",Guntur,Guntur,"Dry Chillies","Red Top",FAQ,04/11/2025,10000,15800,15000
"Andhra Pradesh",Krishna,Divi,Paddy(Dhan)(Common),"B P T",FAQ,04/11/2025,2300,2350,2325
"Andhra Pradesh",Kurnool,Kurnool,"Arhar (Tur/Red Gram)(Whole)",Local,Non-FAQ,04/11/2025,1200,6940,6409
"Andhra Pradesh",Kurnool,Kurnool,"Bengal Gram(Gram)(Whole)","Desi (Whole)",Non-FAQ,04/11/2025,3319,4529,4529
"Andhra Pradesh",Kurnool,Kurnool,"Black Gram (Urd Beans)(Whole)","Black Gram (Whole)",Non-FAQ,04/11/2025,2300,6697,6697
"Andhra Pradesh",Kurnool,Kurnool,"Castor Seed",Other,FAQ,04/11/2025,5349,5860,5814
Bihar,"East Champaran/ Motihari",Chakia,Potato,Jyoti,FAQ,04/11/2025,1400,1600,1500
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Ginger(Green),Other,FAQ,04/11/2025,2000,3500,3000
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),"Green Chilli",Other,FAQ,04/11/2025,1500,3500,2500
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,04/11/2025,700,1300,1000
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,04/11/2025,800,2000,1600
Chattisgarh,Bilaspur,Tiphra,Onion,Local,Non-FAQ,04/11/2025,1800,2000,1900
Chattisgarh,Durg,Durg,Tomato,Local,Non-FAQ,04/11/2025,1600,1800,1800
Chattisgarh,Jashpur,Kotba,Groundnut,"Big (With Shell)",Non-FAQ,04/11/2025,3500,3500,3500
Chattisgarh,Koria,Baikunthpur,Mahua,Mahua,FAQ,04/11/2025,3100,3100,3100
Goa,"North Goa",Mapusa,"Water Melon","Water Melon",Medium,04/11/2025,1500,1500,1500
Goa,"South Goa",Curchorem,Coconut,Small,FAQ,04/11/2025,1440,1440,1440
Gujarat,Ahmedabad,Ahmedabad,Capsicum,Capsicum,FAQ,04/11/2025,2500,5000,3500
Gujarat,Ahmedabad,Ahmedabad,Drumstick,Other,FAQ,04/11/2025,5000,12000,10500
Gujarat,Ahmedabad,Ahmedabad,Ginger(Green),Other,FAQ,04/11/2025,4200,6500,6300
Gujarat,Ahmedabad,Ahmedabad,"Yam (Ratalu)",Other,FAQ,04/11/2025,5000,5500,5400
Gujarat,Ahmedabad,Sanad,Wheat,Sharbati,FAQ,04/11/2025,2550,2800,2675
Gujarat,Ahmedabad,Viramgam,"Sesamum(Sesame,Gingelly,Til)",Other,Non-FAQ,04/11/2025,7425,9390,8410
Gujarat,Amreli,Amreli,"Bajra(Pearl Millet/Cumbu)",Hybrid,Non-FAQ,04/11/2025,1660,2330,2095
Gujarat,Amreli,Amreli,"Bengal Gram(Gram)(Whole)",Other,FAQ,04/11/2025,4450,5425,5250
